k3d , k2d , tau , a, da,  phi_bl , phi_br, length(p - p3), k2d_bef, k3d_bef, k2d_next, k3d_next
0.00253287608872176, 0.00107936452971832 , 0.00170019926244105 , 1.13057261189052 , 0.506855064796863, 179.74010812982 , 0.258154155532966, 4.65661287307739e-10, 0.00107935301692123, 0.00253282181908269, 0.00107937603907593, 0.00253293035132238
0.00267833809498333, 0.00109773366287104 , 0.00158331835691212 , 1.14849984233613 , 0.496166062324832, 179.716983433711 , 0.281216069402433, 0.558495480175582, 0.0010977350526944, 0.0026783119110766, 0.00109773226936044, 0.00267836427040809
0.00271656015308096, 0.00106953296694865 , 0.00150284545451432 , 1.16613381363014 , 0.491924586076831, 179.708260526882 , 0.289962385732249, 1.68846284380198, 0.00106954718750628, 0.00271656507147404, 0.00106951874298387, 0.00271655522598383
0.00276148576581915, 0.00104066817938136 , 0.00143082975224885 , 1.18440222634346 , 0.456116871794254, 179.677678930825 , 0.320305205320774, 3.41921763765532, 0.00104065763035193, 0.00276142681465919, 0.00104067871954089, 0.00276154469458316
0.00282173956788924, 0.00102086896351519 , 0.0013753905846589 , 1.20061219616934 , 0.45812555207192, 179.670015571296 , 0.328009035454757, 5.72992916775959, 0.00102089039151282, 0.00282176548513645, 0.00102084752701145, 0.00282171362693772
0.00287470519862264, 0.00100048237132208 , 0.00118282909348068 , 1.21532789010525 , 0.380075083827869, 179.592472841092 , 0.404998587790466, 8.67751952564015, 0.00100047136406977, 0.00287464414050046, 0.00100049336969109, 0.00287476623238321
0.00292963555385096, 0.000982239734736254 , 0.00114373755227582 , 1.22889698001486 , 0.386712207045559, 179.589858873482 , 0.407722301015583, 12.2169283559889, 0.000982260777392341, 0.0029296664808484, 0.000982218683541077, 0.00292960460122932
0.00298838467421309, 0.00096784032521275 , 0.000954424413326392 , 1.24098198375973 , 0.315560645136603, 179.485105419744 , 0.511789503840287, 16.428006152498, 0.00096783028805056, 0.00298832613518283, 0.000967850354092399, 0.0029884431888
0.00303461554592894, 0.000950175851551456 , 0.000930253873655297 , 1.25232783413006 , 0.326185730381567, 179.492326946832 , 0.504785757287076, 21.2403703047483, 0.000950195628962419, 0.00303464868627443, 0.000950156066173546, 0.00303458238008393
0.00310937106306222, 0.000946309076051119 , 0.000902581200048035 , 1.26154979934393 , 0.329571186785671, 179.483679956516 , 0.513499875671154, 26.7574538039431, 0.00094631010462747, 0.00310934236913009, 0.000946308044246391, 0.0031093997474482
0.0031491434105392, 0.000922262631786402 , 0.000420483776384701 , 1.27357821570645 , 0.218111309580049, 179.207543370132 , 0.789407435947903, 32.8825211987943, 0.000922270350719172, 0.00314913917521846, 0.000922269538443029, 0.00314918125219154
0.00321873721118539, 0.000926978988056436 , 0.00039028969281305 , 1.27866425717346 , 0.147192484012404, 178.79715280601 , 1.19648707462429, 39.6771349607372, 0.000926983218738016, 0.00321873614764085, 0.000926974754293137, 0.00321873826426656
0.00325374194997138, 0.000911825409953931 , 0.000404957190753634 , 1.28675324392444 , 0.170404205857011, 178.94743346399 , 1.04757676653232, 47.2216623657904, 0.000911811869679934, 0.0032536746414596, 0.000911838942475122, 0.00325380923188481
0.00331667192239883, 0.000909569284976522 , 0.000388765889807596 , 1.29299538948911 , 0.182575358431691, 178.99703379295 , 0.998704826207083, 55.3780889804085, 0.000909584052783286, 0.00331670453803767, 0.000909554509476324, 0.00331663927887145
0.00336660832772181, 0.000904639628387087 , 0.000222370048774701 , 1.29874332515234 , 0.132448808476404, 178.595130637672 , 1.40016183951529, 64.3109372061503, 0.000904625645736409, 0.00336654030802207, 0.000904653603049404, 0.00336667631878286
0.00341883275923965, 0.000902329649069511 , 0.000215333023001209 , 1.30370278179092 , 0.147956394491722, 178.721359833714 , 1.27492498460183, 73.8536555283175, 0.000902344891136879, 0.0034188720238801, 0.000902314399069858, 0.00341879346483258
0.00347404051471555, 0.000902728625242067 , 4.09817402786879e-05 , 1.30792970229826 , 0.0968828337555294, 178.016007084933 , 1.98231649352495, 84.1957050572773, 0.000902715247116241, 0.00347397652343216, 0.000902741995712441, 0.00347410447759886
0.00351425070244952, 0.000900452772393365 , 4.00391165987543e-05 , 1.31167744191651 , 0.114801522643759, 178.304544231394 , 1.69427422822963, 95.1413319860365, 0.000900467395919291, 0.00351429255507047, 0.000900438141258653, 0.00351420882057185
0.00358592529561625, 0.000910984920677225 , 1.14837304862957e-05 , 1.31393656999443 , 0.126095476260524, 178.424322486051 , 1.57539068542622, 106.904988752461, 0.00091098194812861, 0.00358589638037914, 0.000910987890190505, 0.00358595419995507
0.00361792985815266, 0.000902114947059636 , 1.16021723010638e-05 , 1.31879185822507 , 0.126849711556964, 178.417717944687 , 1.58199278541989, 119.261207720143, 0.000902122898860395, 0.00361794104631325, 0.000902111127973307, 0.00361792948758977
0.0036814705094483, 0.000921489033489689 , -0.00041409493685987 , 1.3178014608669 , -0.0169365760416262, 12.1734674390037 , 168.391452676737, 132.322330345723, 0.00092148915787014, 0.0036814734184828, 0.000921488905995924, 0.00368146758875482
0.00370568848863607, 0.000921348671883579 , -0.000485170870293434 , 1.31952981231389 , -0.00966485760311997, 21.3558560892721 , 160.525033233839, 146.22019214721, 0.000921330599830641, 0.00370561719812941, 0.000921366736232885, 0.00370575974917967
0.0037607400237681, 0.000934738560880622 , -0.000467429465353268 , 1.31961151684723 , 0.0134817276564725, 165.364466040533 , 15.6370179156882, 160.684200044534, 0.000934749245596636, 0.00376078103623633, 0.000934727868244929, 0.00376069898029924
0.00380058470209299, 0.000945384193169222 , -0.000687791220487238 , 1.31940990789776 , -0.0446353426331036, 4.78802156984991 , 175.356652241987, 175.990281789148, 0.000945365014556263, 0.0038005142071686, 0.000945403363638282, 0.00380065516528891
0.0038411818004214, 0.000959622097102212 , -0.000668804358654453 , 1.31829711482585 , -0.0186437783877835, 11.6906588942546 , 169.098956339383, 191.83769012799, 0.00095963344709412, 0.00384123000846498, 0.000959610738722312, 0.00384113355988182
0.0038857044686064, 0.000977015569441253 , -0.000901405121746085 , 1.31663014515273 , -0.0836324377084807, 2.6028165867437 , 177.452618441838, 208.525987541292, 0.000976996756192406, 0.00388564215586838, 0.00097703437517332, 0.00388576675242561
0.00391627912123408, 0.000994073280588921 , -0.000884687614048662 , 1.31415733637096 , -0.0555627160836458, 3.96303727951434 , 176.160808845995, 225.724499813627, 0.000994082740852775, 0.00391632468362023, 0.000994063812518742, 0.00391623352936009
0.00393112101752785, 0.00101171764980994 , -0.000999822894809758 , 1.31050600490759 , -0.0856379612890201, 2.56980662766949 , 177.489429080546, 243.755528258768, 0.00101170351942549, 0.00393107875346793, 0.00101173178543436, 0.00393116330294276
0.0042268817540575, 0.00109835158166665 , -0.000925625378729385 , 1.30793035538921 , -0.0598540985885521, 3.96226799913866 , 176.158049107418, 262.25897087043, 0.0010983167116637, 0.00422675696274107, 0.00109838645820642, 0.00422700657076936
